trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1442,False,"{'a': 0.5, 'e': 0.055910672262727355}",20,4,1.945002574542861,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
1443,False,"{'a': 0.5, 'e': 0.05579896266503611}",20,11,15.45719313704192,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1444,False,"{'a': 0.5, 'e': 0.055687476263269947}",30,22,16.327946679665768,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1445,False,"{'a': 0.5, 'e': 0.055576212611483058}",20,15,11.354263877404316,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1446,False,"{'a': 0.5, 'e': 0.05546517126462075}",20,9,23.08095735456416,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1447,False,"{'a': 0.5, 'e': 0.055354351778517427}",20,12,18.17178012332327,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1448,False,"{'a': 0.5, 'e': 0.055243753709895045}",20,15,9.431548881211196,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1449,False,"{'a': 0.5, 'e': 0.055133376616361141}",25,15,5.117261560184023,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1450,False,"{'a': 0.5, 'e': 0.055023220056407231}",25,11,27.439635433224616,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1451,False,"{'a': 0.5, 'e': 0.054913283589406892}",20,12,14.299782014812902,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1452,False,"{'a': 0.5, 'e': 0.054803566775614154}",20,14,11.243071500037805,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1453,False,"{'a': 0.5, 'e': 0.054694069176161562}",20,4,-5.514944046468977,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
1454,False,"{'a': 0.5, 'e': 0.054584790353058625}",30,14,32.85113511340548,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1455,False,"{'a': 0.5, 'e': 0.054475729869189859}",30,16,26.04461740414059,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1456,False,"{'a': 0.5, 'e': 0.054366887288313223}",30,8,37.275381757942256,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1457,False,"{'a': 0.5, 'e': 0.054258262175058213}",20,16,8.064547100624212,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1458,False,"{'a': 0.5, 'e': 0.054149854094924267}",25,11,28.863453635975056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1459,False,"{'a': 0.5, 'e': 0.054041662614278875}",25,14,20.22718090643091,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1460,False,"{'a': 0.5, 'e': 0.053933687300356019}",20,6,10.100963608106786,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1461,False,"{'a': 0.5, 'e': 0.053825927721254253}",25,5,34.400972098253035,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1462,False,"{'a': 0.5, 'e': 0.053718383445935165}",20,11,18.383281278430225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
